,Titulo,IMDBid,Nota,Votos,Elenco,Gênero,Duração,Reviews,Ano,Data de estréia,Data dos episodios,Roteiristas,Censura,País,Idiomas,Episodios
0,Sex Education,7767422,8.3,224665.0,"Asa Butterfield, Gillian Anderson, Emma Mackey, Ncuti Gatwa, Connor Swindells, Kedar Williams-Stirling, Aimee Lou Wood, Alistair Petrie, Tanya Reynolds, Patricia Allison, Mikael Persbrandt, Jim Howick, Mimi Keene, Chris Jenks, Chaneil Kular, Rakhee Thakrar, Samantha Spiro, Sami Outalbali, Chinenye Ezeudu, Simone Ashley, George Robinson, Anne-Marie Duff, Hannah Waddingham, George Somner, Lisa Palfrey, Doreene Blackstock, Jemima Kirke, Dua Saleh, Sharon Duncan-Brewster, Joe Wilkinson, Jojo Macari, Conor Clarke-McGrath, Deobia Oparei, Lino Facioli, Judith Cabral, James Purefoy, Indra Ové, Armin Karima, Jack Helsby, Robyn Holdaway, Jason Isaacs, Lily Newmark, Dan Renton Skinner, Daniel Ings, Edward Bluemel, Mirren Mack, George Georgiou, Tom Atkinson, Suzanne Bertish, Colin Murtagh","Comedy, Drama",45,25.0,2019.0,11/01/2019,"11/01/2019, 11/01/2019, 11/01/2019, 11/01/2019, 11/01/2019, 11/01/2019, 11/01/2019","Laurie Nunn, Laurie Nunn, Sophie Goodhart","Argentina:16, Australia:MA15+::(self-applied), Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:16, Germany:16::(self-applied), India:A, Indonesia:18+::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16::(season 3), Netherlands:12::(seasons 1 and 2), New Zealand:R16::(self-applied), Norway:16::(self-applied), Philippines:18+::(self-applied), Poland:16, Portugal:16, Singapore:R21, South Korea:18, Spain:16, Sweden:16+, Turkey:18+, United Kingdom:18, United States:TV-MA, United Arab Emirates:18+::(self-applied), Vietnam:C18",United Kingdom,English,8.0
1,Stranger Things,4574334,8.7,921986.0,"Winona Ryder, David Harbour, Finn Wolfhard, Millie Bobby Brown, Gaten Matarazzo, Caleb McLaughlin, Natalia Dyer, Charlie Heaton, Joe Keery, Cara Buono, Noah Schnapp, Sadie Sink, Priah Ferguson, Joe Chrest, Dacre Montgomery, Maya Hawke, Brett Gelman, Rob Morgan, John Reynolds, Matthew Modine, Randy Havens, Sean Astin, Paul Reiser, Susan Shalhoub Larkin, Tinsley Price, Jamie Campbell Bower, Amybeth McNulty, Grace Van Dien, Eduardo Franco, Myles Truitt, Nikola Djuricko, Joseph Quinn, Regina Ting Chen, Sherman Augustus, Catherine Curtin, Andrey Ivchenko, Chester Rushing, Anniston Price, Mark Steger, Francesca Reale, Tobias Jelinek, Chelsea Talmadge, Shannon Purser, Joel Stoffer, Jake Busey, Cary Elwes, Aimee Mullins, Michael Park, Catherine Dyer, Peyton Wich","Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",51,25.0,2016.0,11/07/2016,"11/07/2016, 15/07/2016, 15/07/2016, 15/07/2016, 15/07/2016, 15/07/2016, 15/07/2016","Matt Duffer, Matt Duffer, Matt Duffer","Argentina:16, Australia:M, Australia:MA15+::(season 3), Brazil:14::(season 1), Brazil:16::(seasons 2 and 3), Canada:14A, Canada:13+::(Quebec), France:16, Germany:16, Hong Kong:IIB, India:15::(self-applied), India:U::(some episodes), Indonesia:16+::(self-applied), Italy:VM14, Japan:PG12::(self-applied), Malaysia:P13, Mexico:TV-14::(self-applied), Netherlands:16, New Zealand:M::(Season 1-2), New Zealand:R16::(Season 3), Nigeria:12A, Norway:16::(Netflix self-rating), Philippines:PG-13, Poland:12, Portugal:16, Russia:16+, Saudi Arabia:PG12, Singapore:NC16, South Korea:15, Spain:16, Spain:13::(self-applied), Sweden:16+, Turkey:16+::(self-applied), United Kingdom:15, United Kingdom:12::(some episodes), United States:TV-14, United Arab Emirates:18+::(self-applied), Vietnam:C16",United States,"English, Russian",8.0
2,On My Block,7879820,8.0,14065.0,"Sierra Capri, Jason Genao, Brett Gray, Diego Tinoco, Jessica Marie Garcia, Julio Macias, Peggy Blow, Reggie Austin, Paula Garcés, Eme Ikwuakor, Eric Neil Gutierrez, Ronni Hawk, Ian Casselberry, Nikki Rodriguez, Raushanah Simmons, Jahking Guillory, Emilio Rivera, Rob Murat, Steve Louis Villegas, Joshua Armando Ticas, Andrea Cortés, Troy Leigh-Anne Johnson, Gilberto Ortiz, Brent Werzner, Ezekiel Pacheco, Lisa Marcos, Ada Luz Pla, Shoshana Bush, Nico Evers-Swindell, Danny Ramirez, Eddie Gonzalez, Angela Elayne Gibbs, Billie J Bradford, Layla Morales, Marcel Nahapetian, Jasmine Ashanti, Kellee Stewart, Cassidy Naber, Kaitlin Yamano, Benito Martinez, Sammie Ray, Dana Gaier, Kendre Berry, Meiyee Apple Tam, Mallory James Mahoney, Conor Husting, Gloria Calderon Kellett, Sydney Agudong, Ricardo Adam Zarate, Marlon Young","Comedy, Drama",30,25.0,2018.0,16/03/2018,"16/03/2018, 16/03/2018, 16/03/2018, 16/03/2018, 16/03/2018, 16/03/2018, 16/03/2018, 16/03/2018, 16/03/2018","Eddie Gonzalez, Eddie Gonzalez, Jeremy Haft","Australia:M, Brazil:16::(self-applied), France:13::(self-applied), Germany:16::(self-applied), India:18::(self-applied), Indonesia:18+::(self-applied), Italy:T, Japan:PG-12, Malaysia:P13, Mexico:TV-14::(self-applied), Netherlands:16, Norway:12::(Netflix self-rating), Philippines:18+::(self-applied), Poland:13::(self-applied), Singapore:M18, South Korea:18, Spain:13, Sweden:13, Turkey:18+::(self-applied), United Kingdom:15, United States:TV-14, United Arab Emirates:18+::(self-applied)",United States,English,10.0
3,The Witcher,5180504,8.2,355432.0,"Henry Cavill, Anna Shaffer, Freya Allan, Graham McTavish, Liz Carr, Simon Callow, Kevin Doyle, Adjoa Andoh, Chris Fulton, Cassie Clare, Yasen Atour, Basil Eidenbenz, Anya Chalotra, Mimi Ndiweni, Mecia Simson, Eamon Farren, Gianni Calchetti, Paul Bullion, MyAnna Buring, Wilson Mbomio, Adam Levy, Joey Batey, Lars Mikkelsen, Royce Pierreson, Jodhi May, Björn Hlynur Haraldsson, Therica Wilson-Read, Judit Fekete, Máté Haumann, Daniel Burke, Mahesh Jadu, Emma Appleton, Josette Simon, Maciej Musial, Shaun Dooley, Anna-Louise Plowman, Terence Maynard, Tobi Bamtefa, Nóra Trokán, Martin Berencsy, Aisha Fabienne Ross, Mia McKenna-Bruce, Adesuwa Oni, Colette Dalal Tchantcho, Francis Magee, Tom Canton, Jordan Renzo, Isobel Laidler, Frida Gustavsson, Packy Lee","Action, Adventure, Fantasy, Mystery",60,25.0,2019.0,20/12/2019,"20/12/2019, 20/12/2019, 20/12/2019, 20/12/2019, 20/12/2019, 20/12/2019, 20/12/2019","Andrzej Sapkowski, Andrzej Sapkowski, Lauren Schmidt","Argentina:16, Australia:MA15+::(Netflix self-rating), Brazil:18, Canada:TV-MA::(self-applied), France:16::(self-applied), Germany:16::(self-applied), India:18::(self applied), Indonesia:18+::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:B15::(self-applied), Netherlands:16, New Zealand:R16::(Netflix self-rating), Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Poland:16, Russia:18+, Singapore:R21, South Korea:18, Spain:16, Sweden:16+::(Self-Applied), Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15::(Season 1), United States:TV-MA, United Arab Emirates:18+::(self-applied), Vietnam:C18::(self-applied)","Poland, United States, Hungary",English,8.0
4,The Crown,4786824,8.6,176875.0,"Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith, Tobias Menzies, Jonathan Pryce, Lesley Manville, Elizabeth Debicki, Dominic West, Charles Edwards, Marion Bailey, Victoria Hamilton, Helena Bonham Carter, Vanessa Kirby, Pip Torrens, Sam Phillips, Erin Doherty, Will Keen, Josh O'Connor, Lizzy McInnerny, Chris Gordon, Nick Owenford, James Hillier, John Lithgow, Jeremy Northam, Harry Hadden-Paton, Clive Francis, Teddy Lewis, Jonny Lee Miller, Flora Montgomery, Andrew Havill, Marcia Warren, Claudia Harrison, Khalid Abdalla, Salim Dau, Sam Woolf, Emma Laird Craig, Billy Jenkins, Nicholas Rowe, Daniel Ings, Ben Miles, Penny Downie, Greg Wise, Ben Daniels, Emma Corrin, Anton Lesser, David Rintoul, Michael Buerk, Harriet Walter, Jason Watkins","Biography, Drama, History",58,25.0,2016.0,07/01/2016,"07/01/2016, 04/11/2016, 04/11/2016, 04/11/2016, 04/11/2016, 04/11/2016, 04/11/2016, 04/11/2016, 04/11/2016","Peter Morgan, Peter Morgan, Peter Morgan","Argentina:16, Australia:MA15+, Australia:M::(season 3), Brazil:16, Brazil:14::(season 2), Canada:PG::(Ontario), Canada:14A::(Ontario), Canada:G::(Quebec), Denmark:11, Denmark:11::(DVD rating), Finland:K-12, Finland:K-12::(DVD rating), France:16, Germany:12::(self-applied), India:16+::(self-applied), Indonesia:18+::(self-applied), Ireland:15, Ireland:12::(some episodes), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:9::(season 1), Netherlands:12::(seasons 2-4), New Zealand:M, Norway:12, Norway:12::(DVD rating), Philippines:18+::(self-applied), Poland:12, Russia:18+, Singapore:NC16::(season 1), Singapore:M18::(series level), South Korea:15, Spain:13, Sweden:11, Sweden:11::(DVD rating), Turkey:18+::(self-applied), United Kingdom:15, United Kingdom:12::(season 3), United Kingdom:PG::(some episodes), United States:TV-MA, United Arab Emirates:18+::(self-applied)",United Kingdom,English,10.0
5,Ozark,5071412,8.4,215750.0,"Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner, Julia Garner, Lisa Emery, Charlie Tahan, Kevin L. Johnson, Jordana Spiro, Jason Butler Harner, Peter Mullan, Carson Holmes, Janet McTeer, McKinley Belcher III, Ali Stroker, Veronica Falcón, Robert C. Treveiler, Trevor Long, Nelson Bonilla, Harris Yulin, Jessica Frances Dukes, Esai Morales, Tom Pelphrey, Darren Goldstein, Felix Solis, Michael Mosley, Marc Menchaca, Evan George Vourazeris, Damian Young, Madison Thompson, Joseph Sikora, Christopher James Baker, John Bedford Lloyd, Melissa Saint-Amand, Lindsay Ayliffe, Michael Tourek, Tess Malis Kincaid, Bethany Anne Lind, Marylouise Burke, Tyler Chase, Robert Tinsley, Pedro Lopez, Sandy Givelber, Christopher Cocke, John Gettier, Aaron Gillespie, Joseph Melendez, Quinn Cooke, Adam Boyer, Dani Deetté","Crime, Drama, Thriller",60,25.0,2017.0,21/07/2017,"21/07/2017, 21/07/2017, 21/07/2017, 21/07/2017, 21/07/2017, 21/07/2017, 21/07/2017, 21/07/2017, 21/07/2017","Bill Dubuque, Bill Dubuque, Bill Dubuque","Argentina:16, Australia:MA15+, Brazil:16, Canada:TV-MA::(self-applied), France:16, Germany:16, India:16+::(self-applied), Indonesia:18+::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Poland:16, Russia:18+, Singapore:R21, South Korea:18, Spain:16, Sweden:16+, Turkey:18+, United Kingdom:18, United States:TV-MA, United Arab Emirates:18+::(self-applied)",United States,English,10.0
6,Outer Banks,10293938,7.6,36903.0,"Chase Stokes, Madelyn Cline, Madison Bailey, J.D., Rudy Pankow, Austin North, Charles Esten, Drew Starkey, Cullen Moss, Caroline Arapoglou, Julia Antonelli, Deion Smith, Marland Burke, E. Roger Mitchell, Adina Porter, Chelle Ramos, Samantha Soule, Nicholas Cirillo, Elizabeth Mitchell, Gary Weeks, Rob Mars, Adam Vernier, Jesse C. Boyd, CC Castillo, Carlacia Grant, Brian Stapf, Charles Halford, Brad James, Terence Rosemore, Chris Gerard, Lilah Pate, Michael Otis, Jontavious Johnson, Jason Saucier, Bing Fu, Brad Ashten, Ian Gregg, Andres Munar, Candi Brooks, David Ury, Tonia Jackson, Ted Huckabee, Logan Siu, Paul Teal, Onye Eme-Akwari, Donna Biscoe, Jayson Warner Smith, Sharon E. Smith, Marshall Bell, Mary Rachel Quinn","Action, Crime, Drama, Mystery, Romance, Thriller",50,25.0,2020.0,15/04/2020,"15/04/2020, 15/04/2020, 15/04/2020, 15/04/2020, 15/04/2020, 15/04/2020, 15/04/2020, 15/04/2020, 15/04/2020","Shannon Burke, Shannon Burke, Shannon Burke","Argentina:16, Australia:M, Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:13::(self-applied), Germany:12::(self-applied), India:18::(self-applied), Indonesia:18+::(self-applied), Italy:VM14::(self-applied), Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Philippines:18+::(self-applied), Poland:12, Portugal:M/14, Singapore:M18, South Korea:15, Spain:13::(self-applied), Sweden:16+, Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA, United Arab Emirates:18+::(self-applied)",United States,English,10.0
7,Love 101,10516352,7.5,12287.0,"Mert Yazicioglu, Kubilay Aka, Alina Boz, Selahattin Pasali, Ipek Filiz Yazici, Pinar Deniz, Müfit Kayacan, Kaan Urgancioglu, Marley Estrada, David Haack, Bade Iscil, Merve Akkaya, Firat Bozan, Sekvan Serinkaya, Ece Yüksel, Rae Varela, Feri Baycu Güler, Luca Emir Merci, Fatih Al, Fahri Öztezcan, Kenan Demirok, Gümeç Alpay Aslan, Tuba Ünsal, Cengiz Tangör, Ali Il, Selen Domaç, Tarhan Karagöz, Ebru Soyuerdem, Idil Arkut Malhan, Samet Kaan Kuyucu, Ramiz Mullamusa, Liz Burnette, Mert Firat, Ezgi Durukan, Paul Galliano, Meltem Pamirtan, Murat Topçinar, Fatih Artman, Deniz Özbalci, Ugur Arda Baskan, Nil Günal, Onur Ayçelik, Lal Ensari, Ogeday Girisken, Özgür Daniel Foster, Gizem Erdem, Hacer Togay, Oben Onur, Tayfun Gölbasi, Melih Köklü","Comedy, Drama, Romance",40,25.0,2020.0,24/04/2020,"24/04/2020, 24/04/2020, 24/04/2020, 24/04/2020, 24/04/2020, 24/04/2020, 24/04/2020","Meriç Acemi, Meriç Acemi","Australia:M, Brazil:12::(self-applied), France:13::(self-applied), Germany:12::(self-applied), India:16::(self-applied), Indonesia:16+, Italy:VM14, Philippines:16+::(self-applied), Poland:16::(self-applied), Singapore:NC16, South Korea:18, Spain:13, Sweden:13::(self-applied), Turkey:15+, United Kingdom:15, United States:TV-14, United Arab Emirates:16+::(self-applied)",Turkey,Turkish,8.0
8,Locke & Key,3007572,7.4,54196.0,"Darby Stanchfield, Connor Jessup, Emilia Jones, Jackson Robert Scott, Griffin Gluck, Asha Bromfield, Petrice Jones, Genevieve Kang, Hallea Jones, Laysla De Oliveira, Kevin Durand, Kolton Stewart, Leishe Meyboom, Sherri Saum, Aaron Ashmore, Brendan Hines, Coby Bird, Jesse Camacho, Joy Tanner, Bill Heck, Thomas Mitchell Barnet, Eric Graise, Nicole James, Felix Mallard, Nick Dolan, Kevin Alves, Steven Williams, Martin Roach, Nicole Stamp, Ellen Olivia Giddings, André Dae Kim, Sabrina Saudin, Aidan Shaw, Liyou Abere, Chris Britton, Erica Pickering, Kayla DeSouza, Michael Therriault, Ken Pak, Owen Ois, Tara Nicodemo, Tanya Clarke, Thomas Mitchell, Shaun Shetty, Charlotte Tavares, Marium Carvell, Joe Hill, Andrew Ahmed, Chris Farquhar, Leslie Adlam","Drama, Fantasy, Horror, Mystery, Thriller",48,25.0,2020.0,07/02/2020,"07/02/2020, 07/02/2020, 07/02/2020, 07/02/2020, 07/02/2020, 07/02/2020, 07/02/2020, 07/02/2020, 07/02/2020","Meredith Averill, Meredith Averill, Aron Eli Coleite","Argentina:13, Australia:M, Brazil:14, Canada:PG::(Manitoba), Canada:13+::(Quebec), France:13::(self-applied), Germany:12, India:18::(self-applied), Indonesia:18+::(self-applied), Italy:T::(self-applied), Japan:R15+, Mexico:TV-14, Netherlands:16, Norway:12::(Netflix self-rating), Philippines:18+::(self-applied), Poland:13::(self-applied), Singapore:NC16, South Korea:18, Spain:13, Sweden:13::(self-applied), Turkey:15+, United Kingdom:15, United States:TV-14, United Arab Emirates:18+::(self-applied), Vietnam:C18","Canada, United States",English,10.0
9,The Umbrella Academy,1312171,8.0,183636.0,"Elliot Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman, Robert Sheehan, Aidan Gallagher, Justin H. Min, Colm Feore, Ritu Arya, Jordan Claire Robbins, Kate Walsh, Adam Godley, Cameron Britton, Mary J. Blige, Yusuf Gatewood, Marin Ireland, Sheila McCarthy, John Magaro, Kris Holden-Ried, Justin Paul Kelly, Stephen Bogaert, Jason Bryden, Kevin Rankin, Cameron Brodeur, Eden Cupid, Rainbow Sun Francks, Dov Tiefenbach, T.J. McGibbon, Blake Talabis, Dante Albidone, Ken Hall, Ethan Hwang, John Kapelos, Tom Sinclair, Patrice Goodman, Calem MacDonald, Alyssa Gervasi, Raven Dauda, Sean Sullivan, Dewshane Williams, Mouna Traoré, Tony Marra, Robert Verlaque, Heather Sanderson, Ashley Madekwe, Peter Outerbridge, Cody Ray Thompson, Peter Schoelier, Zachary Bennett, Murray Furrow","Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",60,25.0,2019.0,15/02/2019,"15/02/2019, 15/02/2019, 15/02/2019, 15/02/2019, 15/02/2019, 15/02/2019, 15/02/2019, 15/02/2019, 15/02/2019","Steve Blackman, Steve Blackman, Gerard Way","Argentina:16, Australia:MA15+, Brazil:16, Canada:TV-MA::(self-applied), Chile:16+::(Netflix self-rating), France:16::(self-applied), Germany:16, India:16+::(self-applied), Indonesia:16+::(self-applied), Italy:T, Japan:R15+::(self-applied), Mexico:TV-14::(self-applied), Netherlands:16::(Netflix self-rating), Norway:16::(Netflix self-rating), Philippines:16+::(self-applied), Poland:12, Russia:18+, Singapore:M18, South Korea:15, Spain:16::(self-applied), Sweden:16+, Turkey:16+, United Kingdom:15, United States:TV-14, United Arab Emirates:16+::(self-applied), Vietnam:C16","United States, Canada",English,10.0
10,Narcos,2707408,8.8,384453.0,"Pedro Pascal, Lizbeth Eden, Wagner Moura, Boyd Holbrook, Alberto Ammann, Muratcan Savci, Paulina Gaitan, Juan Murcia, Jorge Monterrosa, Damián Alcázar, Francisco Denis, Raúl Méndez, Juan Sebastián Calero, Paulina García, Diego Cataño, Brett Cullen, Julián Díaz, Joanna Christie, Maurice Compte, María José Sanchez Real, Stephanie Sigman, Matias Varela, Arturo Castro, Manolo Cardona, Bruno Bichir, Andrea Londo, Leynar Gomez, Juan Pablo Raba, Richard T. Jones, Taliana Vargas, Mauricio Cujar, Jason Chad Roth, Pêpê Rapazote, Michael Stahl-David, Matt Whelan, Jorge A. Jimenez, Eric Lange, Danielle Kennedy, Carrell Lasso, Roberto Cano, Juan Pablo Shuk, Juana Álvarez, Cristina Umaña, Patrick St. Esprit, Konstantin Melikhov, Ariel Sierra, Mauricio Mejía, Gustavo Angarita Jr., Germán Jaramillo, André Mattos","Biography, Crime, Drama, Thriller",49,25.0,2015.0,28/08/2015,"28/08/2015, 28/08/2015, 28/08/2015, 28/08/2015, 28/08/2015, 28/08/2015, 28/08/2015, 28/08/2015, 28/08/2015","Carlo Bernard, Carlo Bernard, Carlo Bernard","Argentina:16, Australia:MA15+, Brazil:16, Canada:13+::(Quebec), Colombia:18, Denmark:15, Finland:K-16, France:12, Germany:16, Hong Kong:III, India:A, Indonesia:18+::(self-applied), Ireland:15, Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, New Zealand:R16, Norway:15, Philippines:R-18, Poland:16, Russia:18+, Singapore:M18, South Korea:18, Spain:16, Sweden:15, Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA, United Arab Emirates:18+::(self-applied)","United States, Colombia, Mexico","English, Spanish",10.0
11,Narcos: Mexico,8714904,8.4,67152.0,"Scoot McNairy, Diego Luna, José María Yazpik, Fermín Martínez, Alejandro Edda, Alfonso Dosal, Fernanda Urrejola, Teresa Ruiz, Manuel Masalva, Clark Freeman, Matt Letscher, Michael Peña, Joaquín Cosio, Tenoch Huerta, Gerardo Taracena, Julio Cesar Cedillo, Gorka Lasaosa, Andrés Almeida, Alyssa Diaz, Aaron Staton, Mayra Hermosillo, Jesse Garcia, Horacio Garcia Rojas, Luisa Rubino, Alberto Zeni, Matt Biedel, Alejandro Bracho, Guillermo Villegas, Francisco Barreiro, Ivana Plantier, Miguel Rodarte, Lenny Jacobson, Jero Medina, Edmundo Vargas, Alessandro Borrelli, Mark Kubr, Érick Israel Consuelo, Manuel Uriza, Ernesto Alterio, Andres Londono, Alex Knight, Alberto Ammann, Tessa Ia, Edison Ruíz, Noé Hernández, Jonathan Ochoa, Milton Cortés, Jesús Ochoa, Yul Vazquez, Viviana Serna","Crime, Drama",50,25.0,2018.0,16/11/2018,"16/11/2018, 16/11/2018, 16/11/2018, 16/11/2018, 16/11/2018, 16/11/2018, 16/11/2018, 16/11/2018, 16/11/2018","Carlo Bernard, Carlo Bernard, Chris Brancato","Australia:R18+, Brazil:16::(self-applied), Canada:13+::(Quebec), France:18, Germany:18::(self-applied), India:18+::(self-applied), Indonesia:18+::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Norway:18::(Netflix self-rating), Philippines:18+::(self-applied), Poland:18::(self-applied), Singapore:R21, South Korea:18, Spain:18, Sweden:18, Turkey:18+::(self-applied), United Kingdom:15::(most episodes), United Kingdom:18::(one episode), United States:TV-MA, United Arab Emirates:18+::(self-applied)","Mexico, United States",English,10.0
12,Lost in Space,5232792,7.3,77880.0,"Molly Parker, Toby Stephens, Maxwell Jenkins, Taylor Russell, Mina Sundwall, Ignacio Serricchio, Parker Posey, Brian Steele, Raza Jaffrey, Ajay Friese, Amelia Burstyn, Sibongile Mlambo, Nevis Unipan, Zehra Fazal, Shaun Parkes, JJ Feild, Yukari Komatsu, Douglas Hodge, Sakina Jaffrey, Cary-Hiroyuki Tagawa, Kiki Sukezane, Tattiawna Jones, Adam Greydon Reid, Rowan Schlosberg, Veenu Sandhu, Viv Leacock, Aria DeMaris, Iain Belcher, Zya Acala, Amanda Marier, Jon Cor, Selma Blair, Bill Mumy, AnnaMaria Demara, Rob LaBelle, Bradley Stryker, Ildiko Susany, Aaron Pearl, Adam Bogen, Monte Thompson, Alison Araya, Kwesi Ameyaw, Josh Chambers, Chris Shields, Jojo Ahenkorah, Karen LeBlanc, William Budijanto, Hugo Raymundo, Vanessa Eichholz, Natasha Quirke","Adventure, Drama, Family, Mystery, Sci-Fi",60,25.0,2018.0,13/04/2018,"13/04/2018, 13/04/2018, 13/04/2018, 13/04/2018, 13/04/2018, 13/04/2018, 13/04/2018, 13/04/2018, 13/04/2018","Matt Sazama, Matt Sazama, Burk Sharpless","Argentina:Atp, Australia:M::(Netflix self-rating), Brazil:14, Canada:TV-PG::(self-applied), France:7::(self-applied), Germany:12, India:7::(self-applied), Italy:T, Japan:G, Mexico:TV-PG::(self-applied), Netherlands:12, Norway:7::(Netflix self-rating), Poland:7::(self-applied), Singapore:PG13, South Korea:12, Spain:7::(Netflix rating), Sweden:7+::(self-applied), Turkey:7+, United Kingdom:12, United Kingdom:PG::(one episode), United States:TV-PG, United Arab Emirates:7+::(self-applie), United Arab Emirates:7+::(self-applied)",United States,English,10.0
